template_id,formula,assumptions,rows_checked,fact_check_method
AC-01,Vrms = Vpeak/sqrt(2),Sinusoidal steady state; magnitude only.,2500,Independent deterministic recomputation from question givens
AC-02,|ZL| = 2 pi f L,Ideal inductor.,2500,Independent deterministic recomputation from question givens
AC-03,|ZC| = 1/(2 pi f C),Ideal capacitor.,2500,Independent deterministic recomputation from question givens
AC-04,|Z| = sqrt(R^2 + X^2),Rectangular impedance components.,2500,Independent deterministic recomputation from question givens
AC-05,f0 = 1/(2 pi sqrt(LC)),Ideal series RLC resonance.,2500,Independent deterministic recomputation from question givens
AE-01,Av = -Rf/Rin,Ideal op-amp with negative feedback.,2500,Independent deterministic recomputation from question givens
AE-02,Av = 1 + Rf/Rg,Ideal op-amp with negative feedback.,2500,Independent deterministic recomputation from question givens
AE-03,fc = 1/(2 pi RC),Single-pole ideal RC filter.,2500,Independent deterministic recomputation from question givens
AE-04,fp = 1/(2 pi Rf Cp),Single parasitic capacitance across the feedback resistor.,2500,Independent deterministic recomputation from question givens
AE-05,SRmin = 2 pi f Vpeak,Sinusoidal output at the stated peak amplitude.,2500,Independent deterministic recomputation from question givens
CM-01,"BWAM = 2 fm,max",Conventional double-sideband AM.,2500,Independent deterministic recomputation from question givens
CM-02,"BW ~= 2(Delta f + fm,max)",Carson's-rule estimate.,2500,Independent deterministic recomputation from question givens
CM-03,C = B log2(1 + SNR),AWGN channel; SNR is linear.,2500,Independent deterministic recomputation from question givens
CM-04,dB = 10 log10(P2/P1),Power ratio.,2500,Independent deterministic recomputation from question givens
CM-05,Rb = Rs log2 M,M is a power of two; coding overhead excluded.,2500,Independent deterministic recomputation from question givens
CS-01,T(0) = K/(1 + K),Negative unity feedback; scalar DC forward gain.,2500,Independent deterministic recomputation from question givens
CS-02,ess = 1/(1 + Kp),Stable type-0 negative-unity-feedback system; unit step.,2500,Independent deterministic recomputation from question givens
CS-03,"Ts,2% ~= 4/(zeta wn)",Standard dominant underdamped second-order approximation.,2500,Independent deterministic recomputation from question givens
CS-04,PO = 100 exp(-zeta pi/sqrt(1-zeta^2)),Standard underdamped second-order step response.,2500,Independent deterministic recomputation from question givens
CS-05,wd = wn sqrt(1-zeta^2),Underdamped second-order poles.,2500,Independent deterministic recomputation from question givens
DC-01,I = V/R,Ideal resistor; DC steady state.,2500,Independent deterministic recomputation from question givens
DC-02,Req = R1 + R2 + R3,Only the stated series resistors are present.,2500,Independent deterministic recomputation from question givens
DC-03,Req = R1 R2/(R1 + R2),Two ideal resistors in parallel.,2500,Independent deterministic recomputation from question givens
DC-04,Vout = Vs Rbottom/(Rtop + Rbottom),Divider output is unloaded.,2500,Independent deterministic recomputation from question givens
DC-05,P = I^2 R,Ideal resistor at the stated current.,2500,Independent deterministic recomputation from question givens
DL-01,states = 2^n,Independent binary bits.,2500,Independent deterministic recomputation from question givens
DL-02,bits = ceil(log2 N),Fixed-length binary encoding.,2500,Independent deterministic recomputation from question givens
DL-03,count(A xor B xor Cin = 1 across five cases),Positive-logic full adder; five independent input triplets.,2500,Independent deterministic recomputation from question givens
DL-04,count(AB + ACin + BCin = 1 across five cases),Positive-logic full adder; five independent input triplets.,2500,Independent deterministic recomputation from question givens
DL-05,fmax ~= 1/(stages tpd),Uses the period >= total-delay approximation stated.,2500,Independent deterministic recomputation from question givens
EM-01,F = k |q1 q2|/r^2,"Point charges in air, treated as vacuum.",2500,Independent deterministic recomputation from question givens
EM-02,E = V/d,Uniform field; fringing neglected.,2500,Independent deterministic recomputation from question givens
EM-03,C = epsilon0 epsilonr A/d,Parallel plates; fringing neglected.,2500,Independent deterministic recomputation from question givens
EM-04,H = I/(2 pi r),Infinitely long straight conductor.,2500,Independent deterministic recomputation from question givens
EM-05,|emf| = N |Delta Phi|/Delta t,Uniform linear flux change; magnitude requested.,2500,Independent deterministic recomputation from question givens
ES-01,tbit = 1/baud,One symbol per UART bit.,2500,Independent deterministic recomputation from question givens
